지점명,등급,가로,세로,fps,스트림주소,비고
(남산)경리단길,FHD,1920,1080,30.0,https://strm4.spatic.go.kr:443/live/539.stream/playlist.m3u8,
(남산)도서관,FHD,1920,1080,30.0,https://strm4.spatic.go.kr:443/live/537.stream/playlist.m3u8,
(남산)백범광장,FHD,1920,1080,30.0,https://strm4.spatic.go.kr:443/live/536.stream/playlist.m3u8,
(남산)버티고개,FHD,1920,1080,30.0,https://strm4.spatic.go.kr:443/live/541.stream/playlist.m3u8,
(남산)용암초교,FHD,1920,1080,30.0,https://strm4.spatic.go.kr:443/live/538.stream/playlist.m3u8,
(남산)하얏트,FHD,1920,1080,30.0,https://strm4.spatic.go.kr:443/live/540.stream/playlist.m3u8,
(남산)한남로,FHD,1920,1080,,https://strm4.spatic.go.kr:443/live/542.stream/playlist.m3u8,
(남산)한옥마을,FHD,1920,1080,30.0,https://strm4.spatic.go.kr:443/live/534.stream/playlist.m3u8,
(남산)회현소방서,FHD,1920,1080,30.0,https://strm4.spatic.go.kr:443/live/535.stream/playlist.m3u8,
강남면허시험장,FHD,1920,1080,30.0,https://strm4.spatic.go.kr:443/live/522.stream/playlist.m3u8,
3기동단 4거리,HD,1280,720,,https://strm3.spatic.go.kr:443/live/322.stream/playlist.m3u8,
4.19묘지입구,HD,1280,720,,https://strm2.spatic.go.kr:443/live/258.stream/playlist.m3u8,
63빌딩,HD,1280,720,,https://strm1.spatic.go.kr:443/live/83.stream/playlist.m3u8,
AT센터,HD,1280,720,,https://strm4.spatic.go.kr:443/live/333.stream/playlist.m3u8,
가락시장,HD,1280,720,,https://strm2.spatic.go.kr:443/live/231.stream/playlist.m3u8,
가양대교북단,HD,1280,720,,https://strm1.spatic.go.kr:443/live/40.stream/playlist.m3u8,
강남교보빌딩 R,HD,1280,720,,https://strm3.spatic.go.kr:443/live/289.stream/playlist.m3u8,
강남성모병원,HD,1280,720,,https://strm1.spatic.go.kr:443/live/55.stream/playlist.m3u8,
강남역,HD,1280,720,,https://strm2.spatic.go.kr:443/live/207.stream/playlist.m3u8,
강남터미널,HD,1280,720,,https://strm1.spatic.go.kr:443/live/54.stream/playlist.m3u8,
강서구청,HD,1280,720,,https://strm1.spatic.go.kr:443/live/103.stream/playlist.m3u8,
강일IC,HD,1280,720,,https://strm2.spatic.go.kr:443/live/204.stream/playlist.m3u8,
개화교,HD,1280,720,,https://strm1.spatic.go.kr:443/live/89.stream/playlist.m3u8,
개화사거리,HD,1280,720,,https://strm4.spatic.go.kr:443/live/331.stream/playlist.m3u8,
경기고,HD,1280,720,,https://strm2.spatic.go.kr:443/live/242.stream/playlist.m3u8,
경남아파트,HD,1280,720,,https://strm2.spatic.go.kr:443/live/243.stream/playlist.m3u8,
경동시장,HD,1280,720,,https://strm2.spatic.go.kr:443/live/161.stream/playlist.m3u8,
가양대교 남단,SD,704,480,30.0,https://strm4.spatic.go.kr:443/live/469.stream/playlist.m3u8,
가양대교~난지IC,SD,704,480,30.0,https://strm3.spatic.go.kr:443/live/446.stream/playlist.m3u8,
가락시장역,—,0,0,,https://strm2.spatic.go.kr:443/live/230.stream/playlist.m3u8,열리지 않음
